,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Derzhavinsk,0,KZ,1563026815,37,51.1,66.31,80.56,12.86
1,Hobart,20,AU,1563026532,95,-42.88,147.33,42.8,11.41
2,Nome,75,US,1563026817,74,30.04,-94.42,82.99,18.34
3,Boende,61,CD,1563026818,72,-0.28,20.88,83.26,2.19
4,Celestun,100,MX,1563026819,77,20.87,-90.4,80.92,10.56
5,Nara,75,JP,1563026821,94,34.68,135.8,71.6,4.7
6,Kapaa,40,US,1563026822,78,22.08,-159.32,78.8,13.87
7,Atuona,8,PF,1563026824,79,-9.8,-139.03,79.3,12.28
8,Chokurdakh,67,RU,1563026825,65,70.62,147.9,47.08,5.01
9,Castro,0,CL,1563026653,100,-42.48,-73.76,42.8,11.41
10,Coquimbo,0,CL,1563026736,65,-29.95,-71.34,44.6,6.93
11,Bredasdorp,10,ZA,1563026828,60,-34.53,20.04,68.0,8.05
12,Saint-Philippe,40,CA,1563026830,88,45.36,-73.48,77.0,16.11
13,East London,0,ZA,1563026816,72,-33.02,27.91,64.4,9.17
14,Sabha,0,LY,1563026832,6,27.03,14.43,109.54,17.9
15,Qixingtai,0,CN,1563026834,85,30.41,111.89,75.99,1.77
16,Karratha,0,AU,1563026835,20,-20.74,116.85,68.68,12.26
17,Ushuaia,75,AR,1563026836,86,-54.81,-68.31,41.0,3.36
18,Busselton,0,AU,1563026837,61,-33.64,115.35,46.0,16.6
19,Namatanai,53,PG,1563026839,80,-3.66,152.44,78.22,6.53
20,Upernavik,100,GL,1563026840,80,72.79,-56.15,45.64,9.13
21,Beyneu,17,KZ,1563026841,26,45.32,55.19,99.28,15.57
22,Punta Arenas,90,CL,1563026843,100,-53.16,-70.91,41.0,14.99
23,Ancud,0,CL,1563026844,100,-41.87,-73.83,42.8,11.41
24,Airai,55,TL,1563026845,83,-8.93,125.41,68.5,5.46
25,Bambous Virieux,75,MU,1563026846,53,-20.34,57.76,73.4,10.29
26,Vila Velha,75,BR,1563026848,83,-3.71,-38.6,86.0,8.05
27,Tuktoyaktuk,61,CA,1563026849,79,69.44,-133.03,41.32,4.63
28,Srednekolymsk,92,RU,1563026850,58,67.46,153.71,69.76,8.25
29,Playa del Carmen,75,MX,1563026732,83,20.63,-87.08,86.0,4.7
30,Ust-Nera,0,RU,1563026853,68,64.57,143.24,57.16,2.75
31,Jamestown,0,AU,1563026855,92,-33.21,138.6,39.88,1.57
32,Acari,100,BR,1563026856,45,-6.44,-36.64,85.96,11.7
33,Merin,82,NG,1563026857,77,7.55,3.99,80.92,6.08
34,Hailar,7,CN,1563026858,76,49.2,119.7,65.62,9.26
35,Qeshm,0,IR,1563026860,67,26.96,56.27,100.4,9.17
36,Praia da Vitoria,20,PT,1563026861,61,38.73,-27.07,82.4,12.84
37,Vaini,75,IN,1563026862,83,15.34,74.49,75.2,11.41
38,Kalulushi,0,ZM,1563026864,21,-12.84,28.09,76.24,2.15
39,Gondar,40,PT,1563026866,83,41.82,-8.78,75.0,4.7
40,Lebu,100,ET,1563026867,83,8.96,38.73,61.48,2.86
41,Pevek,93,RU,1563026868,96,69.7,170.27,37.54,3.74
42,Inuvik,20,CA,1563026869,76,68.36,-133.71,51.8,4.7
43,Ajdabiya,0,LY,1563026800,78,30.75,20.22,78.4,15.43
44,Changji,0,CN,1563026872,81,32.07,116.17,73.0,6.49
45,Hervey Bay,59,AU,1563026873,41,-25.3,152.85,60.8,8.05
46,Havre-Saint-Pierre,90,CA,1563026874,100,50.23,-63.6,53.6,11.41
47,Kayasula,16,RU,1563026876,39,44.33,45.0,77.68,5.1
48,San Cristobal,100,HN,1563026877,54,14.68,-86.92,76.78,7.43
49,Mataura,100,NZ,1563026878,96,-46.19,168.86,46.0,1.99
50,Georgetown,75,GY,1563026593,79,6.8,-58.16,84.2,13.87
51,Mountain Home,90,US,1563026881,63,43.13,-115.69,71.01,3.36
52,Hermanus,0,ZA,1563026882,70,-34.42,19.24,66.99,4.0
53,Roald,75,NO,1563026883,76,62.58,6.12,60.01,9.17
54,Omsukchan,93,RU,1563026885,65,62.53,155.8,58.42,1.61
55,Lucapa,20,AO,1563026886,19,-8.42,20.74,90.1,3.11
56,Port Elizabeth,1,US,1563026887,69,39.31,-74.98,82.0,5.82
57,Faanui,0,PF,1563026889,73,-16.48,-151.75,77.5,6.08
58,Sungaipenuh,94,ID,1563026770,97,-2.08,101.38,74.8,1.45
59,Caravelas,2,BR,1563026701,61,-17.73,-39.27,77.68,5.03
60,Constitucion,20,MX,1563026892,100,23.99,-104.67,64.99,3.36
61,Rikitea,27,PF,1563026893,84,-23.12,-134.97,74.44,13.73
62,Cape Town,0,ZA,1563026660,52,-33.93,18.42,66.2,3.36
63,Moose Factory,90,CA,1563026896,93,51.26,-80.61,53.6,3.36
64,Zhangjiakou,5,CN,1563026897,55,40.77,114.88,63.1,3.38
65,Wageningen,75,NL,1563026898,72,51.98,5.66,71.01,6.93
66,Cherskiy,18,RU,1563026900,89,68.75,161.3,43.12,16.13
67,Hilo,40,US,1563026885,68,19.71,-155.08,69.8,5.82
68,Richards Bay,0,ZA,1563026902,76,-28.77,32.06,71.38,24.7
69,San Buenaventura,20,MX,1563026903,50,27.06,-101.55,84.99,5.82
70,Lunino,8,RU,1563026904,35,53.59,45.22,80.01,5.82
71,Kaitangata,100,NZ,1563026906,75,-46.28,169.85,50.0,3.0
72,Aksarka,100,RU,1563026907,58,66.56,67.8,65.8,10.49
73,Tiksi,96,RU,1563026908,67,71.64,128.87,45.28,10.6
74,Comodoro Rivadavia,0,AR,1563026910,57,-45.87,-67.48,48.2,6.93
75,Laukaa,90,FI,1563026911,50,62.42,25.95,57.2,5.82
76,Honningsvag,68,NO,1563026912,81,70.98,25.97,44.56,8.75
77,Cayenne,32,GF,1563026816,70,4.94,-52.33,84.2,5.82
78,Tarakan,75,ID,1563026915,88,3.3,117.63,78.8,9.17
79,Rocha,49,UY,1563026916,81,-34.48,-54.34,54.28,10.69
80,Ulcinj,20,ME,1563026870,42,41.93,19.22,82.4,6.93
81,Mogadishu,75,SO,1563026879,66,2.04,45.34,84.2,20.8
82,Kharan,3,PK,1563026923,12,28.58,65.42,101.26,11.16
83,Saskylakh,85,RU,1563026924,63,71.97,114.09,54.64,7.85
84,Pontes e Lacerda,41,BR,1563026925,30,-15.23,-59.33,91.18,3.58
85,Kendari,12,ID,1563026927,95,-3.99,122.52,69.58,1.88
86,Talnakh,75,RU,1563026928,87,69.49,88.39,51.8,6.71
87,Iralaya,75,HN,1563026929,83,15.0,-83.23,80.6,5.68
88,Muros,40,ES,1563026931,78,42.77,-9.06,78.01,6.93
89,Ribeira Brava,75,PT,1563026932,73,32.65,-17.07,73.99,12.75
90,Suamico,1,US,1563026933,69,44.63,-88.04,80.01,5.82
91,Hamilton,75,CA,1563026933,88,43.26,-79.87,79.0,13.87
92,Bluff,96,AU,1563026885,64,-23.58,149.07,55.72,8.7
93,Surat,40,IN,1563026937,84,21.19,72.81,86.0,10.29
94,Thompson,75,CA,1563026938,72,55.74,-97.86,62.6,6.93
95,Verkhniy Avzyan,100,RU,1563026939,76,53.53,57.54,67.78,6.44
96,Albany,75,US,1563026702,73,42.65,-73.75,77.0,4.7
97,Severo-Kurilsk,72,RU,1563026942,96,50.68,156.12,43.66,15.26
98,Maniitsoq,100,GL,1563026943,92,65.42,-52.9,42.76,14.47
99,Humaita,75,AR,1563026945,87,-24.93,-65.37,59.0,2.17
100,San Quintin,34,PH,1563026751,85,17.54,120.52,76.78,2.15
101,Turayf,0,SA,1563026947,20,31.68,38.65,95.0,13.87
102,Kavaratti,60,IN,1563026948,76,10.57,72.64,83.44,11.92
103,Pilot Butte,5,CA,1563026950,100,50.48,-104.42,64.0,5.82
104,Sturgeon Falls,75,CA,1563026878,88,46.36,-79.93,70.0,5.82
105,Vostok,63,RU,1563026952,83,46.45,135.83,57.34,3.83
106,Turukhansk,15,RU,1563026954,70,65.8,87.96,59.14,12.08
107,Grindavik,75,IS,1563026955,87,63.84,-22.43,55.4,10.29
108,Ahome,40,MX,1563026956,65,25.92,-109.18,82.99,12.75
109,Valdivia,75,CL,1563026957,100,-39.81,-73.25,48.2,5.82
110,Victoria,75,BN,1563026915,83,5.28,115.24,78.8,3.36
111,Leningradskiy,81,RU,1563026960,91,69.38,178.42,40.6,9.33
112,Barrow,0,AR,1563026915,49,-38.31,-60.23,52.12,4.56
113,Batagay-Alyta,88,RU,1563026962,94,67.8,130.41,49.42,1.61
114,Port Alfred,0,ZA,1563026964,84,-33.59,26.89,64.0,1.99
115,Wajima,100,JP,1563026965,84,37.4,136.9,71.74,7.7
116,Luganville,77,VU,1563026966,97,-15.51,167.18,71.2,2.64
117,Prince George,20,CA,1563026968,93,53.92,-122.75,60.01,4.7
118,Rancharia,0,BR,1563026969,31,-22.23,-50.89,77.0,6.93
119,San Carlos de Bariloche,40,AR,1563026910,94,-41.13,-71.31,37.4,12.75
120,Arraial do Cabo,0,BR,1563026972,73,-22.97,-42.02,73.4,5.82
121,Ostrovnoy,2,RU,1563026973,64,68.05,39.51,48.88,7.92
122,Butaritari,83,KI,1563026974,70,3.07,172.79,83.44,11.97
123,Tual,77,ID,1563026848,78,-5.67,132.75,77.14,18.86
124,Alamogordo,1,US,1563026977,36,32.9,-105.96,81.0,4.7
125,Barbalha,0,BR,1563026978,34,-7.31,-39.3,82.4,14.99
126,Tilichiki,0,RU,1563026979,95,60.47,166.1,44.92,3.27
127,Bargi,100,IN,1563026980,58,22.99,79.88,86.0,9.17
128,Pitimbu,75,BR,1563026982,74,-7.47,-34.81,82.4,4.7
129,Piranhas,16,BR,1563026983,51,-9.61,-37.76,83.62,9.06
130,Tuatapere,100,NZ,1563026888,96,-46.13,167.69,46.0,1.99
131,Lorengau,98,PG,1563026986,82,-2.02,147.27,78.94,12.41
132,Shingu,100,JP,1563026987,99,33.72,135.99,67.24,7.47
133,Aykhal,90,RU,1563026989,77,65.95,111.51,62.6,4.47
134,Saint-Medard-en-Jalles,0,FR,1563026990,39,44.9,-0.72,93.99,5.82
135,Fortuna,90,US,1563026991,93,40.6,-124.16,59.0,3.36
136,Provideniya,35,RU,1563026991,67,64.42,-173.23,57.88,3.15
137,Gambela,96,ET,1563026994,95,8.25,34.59,73.18,1.14
138,Minsk,40,BY,1563026995,63,53.9,27.56,60.8,2.24
139,Ribeira Grande,40,PT,1563026996,88,38.52,-28.7,75.2,9.17
140,Linhares,0,BR,1563026998,43,-19.38,-40.06,81.1,4.23
141,Verkhoturye,100,RU,1563026999,55,58.86,60.81,80.02,12.44
142,Qaqortoq,20,GL,1563026925,58,60.72,-46.03,57.2,6.93
143,Yellowknife,20,CA,1563027001,76,62.45,-114.38,50.0,4.9
144,Daru,100,PG,1563027003,90,-9.07,143.21,72.82,8.08
145,Tasiilaq,40,GL,1563027004,86,65.61,-37.64,41.0,10.29
146,Longyearbyen,75,NO,1563026909,80,78.22,15.63,41.0,8.05
147,Carnarvon,0,ZA,1563026883,16,-30.97,22.13,66.52,11.23
148,Khatanga,23,RU,1563027007,62,71.98,102.47,54.64,3.96
149,Burnie,83,AU,1563027009,88,-41.05,145.91,39.99,1.99
150,Te Anau,100,NZ,1563027010,95,-45.41,167.72,44.92,9.17
151,Rundu,0,NA,1563027011,11,-17.91,19.77,80.6,10.29
152,Ketchikan,1,US,1563027013,100,55.34,-131.65,51.8,3.36
153,Clyde River,20,CA,1563027014,66,70.47,-68.59,53.6,3.36
154,Kahului,20,US,1563027015,83,20.89,-156.47,77.0,14.99
155,Saint-Pierre,75,FR,1563027017,49,48.95,4.24,77.0,12.75
156,Nanortalik,3,GL,1563027018,77,60.14,-45.24,45.82,7.4
157,Druzhba,13,UA,1563027019,54,52.05,33.94,66.52,5.14
158,Taoudenni,43,ML,1563026959,4,22.68,-3.98,117.28,19.98
159,Yulara,0,AU,1563027021,57,-25.24,130.99,50.0,10.29
160,Krasnorechenskiy,100,RU,1563027023,86,44.63,135.35,55.9,1.81
161,New Norfolk,20,AU,1563027024,95,-42.78,147.06,42.8,11.41
162,Hualmay,100,PE,1563026957,82,-11.1,-77.61,62.2,10.76
163,Mecca,0,SA,1563026859,15,21.43,39.83,101.08,16.28
164,Okato,31,NZ,1563027028,97,-39.19,173.88,54.0,15.01
165,Gigmoto,100,PH,1563027029,66,13.78,124.39,83.98,2.89
166,Avarua,100,CK,1563027030,94,-21.21,-159.78,68.0,2.24
167,Viedma,67,AR,1563027032,50,-40.81,-62.99,52.66,13.02
168,Kourou,61,GF,1563027033,70,5.16,-52.64,84.2,5.82
169,Kodiak,1,US,1563026893,83,39.95,-94.76,79.0,4.7
170,Cabo San Lucas,5,MX,1563026789,65,22.89,-109.91,81.0,11.41
171,Tomohon,40,ID,1563026944,73,1.33,124.84,77.0,4.7
172,Deputatskiy,100,RU,1563027038,92,69.3,139.9,49.6,2.04
173,Sao Raimundo das Mangabeiras,100,BR,1563027039,42,-7.02,-45.48,88.12,12.06
174,Iqaluit,40,CA,1563027040,81,63.75,-68.52,50.0,3.36
175,Touros,75,BR,1563026955,69,-5.2,-35.46,82.4,14.99
176,Puerto Leguizamo,32,CO,1563027043,78,-0.19,-74.78,80.56,1.81
177,Garachine,99,PA,1563027044,73,8.06,-78.36,81.64,3.56
178,Beaufort,75,MY,1563027045,83,5.36,115.76,78.8,3.36
179,Sitka,0,US,1563027047,78,37.17,-99.65,73.0,4.0
180,Yongan,55,CN,1563027048,61,39.7,113.69,67.96,1.5
181,Jalingo,0,NG,1563027049,41,10.3,10.93,90.64,6.82
182,Bouca,96,CF,1563027051,81,6.51,18.28,80.38,3.24
183,Dikson,77,RU,1563027052,93,73.51,80.55,33.04,5.53
184,Ornskoldsvik,100,SE,1563027053,48,63.29,18.72,69.8,12.75
185,Vardo,1,US,1563027055,61,39.62,-77.74,81.0,6.93
186,Ouesso,90,CG,1563027056,60,1.61,16.05,84.52,3.04
187,Norman Wells,40,CA,1563027057,81,65.28,-126.83,46.4,5.82
188,Karasjok,0,NO,1563026934,58,69.47,25.52,55.4,16.11
189,Pisco,90,PE,1563027060,30,-13.71,-76.2,71.6,4.7
190,Saint-Leu,90,RE,1563027061,56,-21.15,55.28,73.4,9.17
191,Novi Bilokorovychi,99,UA,1563027062,71,51.12,28.05,66.88,4.76
192,Verkh-Usugli,5,RU,1563027064,93,52.7,115.17,57.16,2.3
193,Broome,75,GB,1563026920,68,52.47,1.45,72.0,8.05
194,Rubiataba,0,BR,1563027066,28,-15.16,-49.8,88.12,5.68
195,Guarapari,0,BR,1563027067,57,-20.67,-40.5,80.01,8.05
196,Sayanogorsk,100,RU,1563027069,95,53.09,91.41,60.58,1.72
197,Torbay,75,CA,1563026896,77,47.66,-52.73,64.0,9.17
198,Port Moresby,100,PG,1563027071,88,-9.47,147.16,75.16,10.96
199,Nabire,100,ID,1563027073,97,-3.36,135.5,66.34,4.16
200,Souillac,0,FR,1563027074,37,45.6,-0.6,84.99,8.05
201,Cadillac,1,US,1563027075,65,44.25,-85.4,78.01,4.7
202,Pangkalanbuun,100,ID,1563027077,93,-2.68,111.62,71.56,2.91
203,San Patricio,100,PY,1563026834,77,-26.98,-56.83,67.06,3.85
204,Amahai,89,ID,1563027079,87,-3.31,129.0,79.0,13.09
205,Sao Filipe,60,CV,1563027064,82,14.9,-24.5,73.54,19.84
206,Hasaki,90,JP,1563027081,100,35.73,140.83,73.4,5.82
207,Puerto Ayora,20,EC,1563026900,83,-0.74,-90.35,70.0,2.24
208,Kokopo,64,PG,1563027084,95,-4.34,152.27,68.86,3.22
209,Albertville,0,FR,1563027085,32,45.68,6.39,82.4,9.17
210,Makat,33,KZ,1563027087,31,47.65,53.35,89.38,11.7
211,Chuy,93,UY,1563027088,79,-33.69,-53.46,55.36,10.42
212,Komsomolskiy,100,RU,1563027089,59,67.55,63.78,65.62,11.3
213,Coihaique,75,CL,1563027091,100,-45.58,-72.07,33.8,2.24
214,Ponta do Sol,0,BR,1563027092,38,-20.63,-46.0,78.4,1.3
215,Ulaangom,25,MN,1563027093,73,49.98,92.07,60.22,1.48
216,Luderitz,0,NA,1563026926,46,-26.65,15.16,73.4,8.05
217,Fare,2,PF,1563027096,81,-16.7,-151.02,76.6,4.79
218,Puksoozero,94,RU,1563027097,65,62.59,40.61,58.6,5.08
219,Boddam,75,GB,1563027098,77,57.47,-1.78,64.99,16.11
220,Vila Franca do Campo,20,PT,1563027100,83,37.72,-25.43,71.6,12.75
221,Katsuura,75,JP,1563027101,94,33.93,134.5,71.6,6.93
222,Salalah,90,OM,1563026884,94,17.01,54.1,80.6,9.17
223,Sinnamary,8,GF,1563027103,78,5.38,-52.96,80.2,13.87
224,Mbanza-Ngungu,43,CD,1563027105,39,-5.25,14.87,88.66,3.22
225,Saint-Augustin,90,CA,1563027106,93,45.63,-73.98,77.0,6.93
226,Alice Springs,0,AU,1563026847,61,-23.7,133.88,50.0,10.29
227,Yilan,18,CN,1563027108,98,43.11,129.52,56.98,3.78
228,San Antonio,75,CL,1563026812,100,-33.58,-71.61,42.8,4.7
229,Gambissara,100,SN,1563027111,40,13.24,-14.31,97.66,2.93
230,Ishigaki,98,JP,1563027112,82,24.34,124.16,84.88,23.24
231,Kant,0,KG,1563027113,31,42.89,74.85,91.4,6.71
232,Geraldton,75,CA,1563026905,77,49.72,-86.95,59.0,14.99
233,Dunedin,100,NZ,1563027116,73,-45.87,170.5,51.01,7.0
234,Ninghai,75,CN,1563027117,94,29.29,121.42,77.0,4.47
235,Birao,66,CF,1563027118,52,10.3,22.78,88.12,4.07
236,Naze,90,NG,1563027119,78,5.43,7.07,81.28,5.82
237,Majene,93,ID,1563026962,73,-3.54,118.97,81.1,20.33
238,Porto Novo,2,BR,1563027122,72,-23.68,-45.44,62.6,2.53
239,Qaanaaq,5,GL,1563027123,54,77.48,-69.36,47.44,11.74
240,Pechenga,38,RU,1563027124,53,58.89,41.46,63.28,4.76
241,Cidreira,91,BR,1563027125,85,-30.17,-50.22,65.62,6.85
242,Muravlenko,100,RU,1563027127,43,63.79,74.5,68.86,7.0
243,Bethel,90,US,1563027128,100,60.79,-161.76,55.4,4.16
244,Imbituba,0,BR,1563027073,88,-28.24,-48.67,64.4,6.93
245,Erenhot,96,CN,1563027130,25,43.65,111.97,82.36,11.83
246,Srivardhan,54,IN,1563027132,86,18.03,73.02,81.1,7.14
247,Baltiysk,0,RU,1563027133,63,54.66,19.91,66.2,13.42
248,Gallup,1,US,1563027134,50,35.53,-108.74,59.0,7.87
249,Velsk,98,RU,1563027135,64,61.07,42.1,60.76,4.47
250,Sanbu,0,CN,1563027137,86,33.46,119.15,72.64,6.89
251,Suntar,71,RU,1563027138,85,62.16,117.65,61.66,5.14
252,Port Hardy,90,CA,1563027139,93,50.7,-127.42,57.2,1.59
253,Ezequiel Montes,75,MX,1563027140,87,20.66,-99.9,59.0,4.7
254,Port-Gentil,20,GA,1563027142,69,-0.72,8.78,82.4,13.87
255,Baruun-Urt,0,MN,1563027143,50,46.68,113.28,67.06,7.56
256,Nakusp,100,CA,1563027144,96,50.24,-117.8,55.99,1.1
257,Isangel,88,VU,1563027146,78,-19.55,169.27,74.26,7.25
258,Larreynaga,40,NI,1563027147,74,12.68,-86.57,78.8,4.0
259,Olden,20,NO,1563027148,59,61.84,6.81,64.4,8.05
260,Chimbote,100,PE,1563027149,89,-9.08,-78.59,62.38,10.02
261,Novita,48,CO,1563027151,75,4.96,-76.61,84.7,0.6
262,Port Augusta,0,AU,1563026971,93,-32.49,137.76,39.2,3.36
263,Kruisfontein,0,ZA,1563027153,79,-34.0,24.73,58.06,4.27
